ID,TIME,obs,obsid
2,20,-0.292782,yG4
2,21,0.206544,yG4
2,1,-0.504314,yG5
2,2,-0.268127,yG5
2,3,-0.0543973,yG5
2,4,0.708715,yG5
2,5,0.095529,yG5
2,6,0.19704,yG5
2,7,0.344307,yG5
2,8,-0.0451548,yG5
2,9,0.120581,yG5
2,10,-0.387534,yG5
2,11,-0.0136797,yG5
2,12,0.225037,yG5
2,13,-0.361599,yG5
2,14,0.258958,yG5
2,15,-0.0486926,yG5
2,16,-0.349248,yG5
2,17,0.213509,yG5
2,18,0.00996344,yG5
2,19,0.402207,yG5
2,20,-0.265383,yG5
2,21,0.164504,yG5
3,0,3.24061,yAB
3,7,3.66802,yAB
3,21,3.71595,yAB
3,123,2.74,yAB
3,180,2.12875,yAB
3,300,0.907603,yAB
3,1,0.964786,yG1
3,2,0.372599,yG1
3,3,0.654352,yG1
3,4,0.260118,yG1
3,5,0.0531249,yG1
3,6,-0.0519285,yG1
3,7,0.583755,yG1
3,8,0.584713,yG1
3,9,0.0477488,yG1
3,10,0.276591,yG1
3,11,0.103473,yG1
3,12,-0.0922118,yG1
3,13,0.229132,yG1
3,14,-0.154961,yG1
3,15,-0.291667,yG1
3,16,-0.0546849,yG1
3,17,0.193728,yG1
3,18,0.0466307,yG1
3,19,0.402071,yG1
3,20,-0.195278,yG1
3,21,-0.0723153,yG1
3,1,-0.324,yG2
3,2,-0.213951,yG2
3,3,-0.558809,yG2
3,4,0.0595791,yG2
3,5,-0.12742,yG2
3,6,0.218705,yG2
3,7,0.721943,yG2
3,8,0.098524,yG2
3,9,0.515176,yG2
3,10,-0.471401,yG2
3,11,-0.330307,yG2
3,12,0.0457063,yG2
3,13,-0.445648,yG2
3,14,-0.187005,yG2
3,15,0.245722,yG2
3,16,-0.509213,yG2
3,17,0.393316,yG2
3,18,0.0514345,yG2
3,19,-0.159387,yG2
3,20,0.171521,yG2
3,21,0.0428258,yG2
3,1,0.0719306,yG3
3,2,0.00771635,yG3
3,3,0.588743,yG3
3,4,0.0689899,yG3
3,5,-0.591487,yG3
3,6,-0.685549,yG3
3,7,-0.204874,yG3
3,8,-0.234185,yG3
3,9,-0.772803,yG3
3,10,0.175425,yG3
3,11,-0.0603702,yG3
3,12,0.365852,yG3
3,13,-0.457517,yG3
3,14,-0.198231,yG3
3,15,0.62843,yG3
3,16,0.0777838,yG3
3,17,0.380386,yG3
3,18,0.782113,yG3
3,19,-0.163377,yG3
3,20,0.288294,yG3
3,21,-0.436714,yG3
3,1,-0.47695,yG4
3,2,0.0879732,yG4
3,3,-0.16945,yG4
3,4,0.29464,yG4
3,5,-0.94815,yG4
3,6,-0.502717,yG4
3,7,0.0968425,yG4
3,8,0.0116829,yG4
3,9,-0.271653,yG4
3,10,0.0315261,yG4
3,11,-0.111989,yG4
3,12,-0.0209935,yG4
3,13,0.14672,yG4
3,14,-0.397876,yG4
3,15,-0.166274,yG4
3,16,0.0480225,yG4
3,17,-0.078887,yG4
3,18,0.267532,yG4
3,19,0.237542,yG4
3,20,-0.597777,yG4
3,21,0.219398,yG4
3,1,0.37232,yG5
3,2,-0.524199,yG5
3,3,0.0337062,yG5
3,4,0.229004,yG5
3,5,0.591389,yG5
3,6,-0.288029,yG5
3,7,0.443341,yG5
3,8,-0.207208,yG5
3,9,0.395971,yG5
3,10,0.279792,yG5
3,11,-0.420799,yG5
3,12,-0.0199425,yG5
3,13,-0.0573404,yG5
3,14,-0.163646,yG5
3,15,-0.330441,yG5
3,16,-0.45112,yG5
3,17,-0.263687,yG5
3,18,-0.251839,yG5
3,19,0.168925,yG5
3,20,0.412091,yG5
3,21,-0.0964843,yG5
4,0,2.80215,yAB
4,7,4.01998,yAB
4,21,3.92989,yAB
4,123,2.25007,yAB
4,180,1.11494,yAB
4,300,-0.924246,yAB
4,1,0.179752,yG1
4,2,-0.00792883,yG1
4,3,0.474584,yG1
4,4,0.0178855,yG1
4,5,0.166471,yG1
4,6,0.513592,yG1
4,7,-0.00467125,yG1
4,8,0.308006,yG1
4,9,0.487796,yG1
4,10,0.103506,yG1
4,11,-0.0638972,yG1
4,12,0.126002,yG1
4,13,0.180418,yG1
4,14,-0.291158,yG1
4,15,-0.0480947,yG1
4,16,-0.266546,yG1
4,17,0.65809,yG1
4,18,0.76882,yG1
4,19,0.103375,yG1
4,20,-0.0289872,yG1
4,21,0.277916,yG1
4,1,-0.191829,yG2
4,2,-0.147568,yG2
4,3,-0.0287721,yG2
4,4,0.0810144,yG2
4,5,0.206735,yG2
4,6,0.22107,yG2
4,7,-0.306463,yG2
4,8,0.301649,yG2
4,9,0.124616,yG2
4,10,0.136336,yG2
4,11,-0.1516,yG2
4,12,0.571415,yG2
4,13,0.175219,yG2
4,14,-0.112748,yG2
4,15,0.224179,yG2
4,16,0.15435,yG2
4,17,-0.231828,yG2
4,18,-0.61471,yG2
4,19,0.910619,yG2
4,20,0.411609,yG2
4,21,-0.58071,yG2
4,1,0.111717,yG3
4,2,0.292671,yG3
4,3,-0.233581,yG3
4,4,0.608045,yG3
4,5,0.0499394,yG3
4,6,-0.0333162,yG3
4,7,-0.125405,yG3
4,8,-0.146417,yG3
4,9,-0.652758,yG3
4,10,0.156228,yG3
4,11,-0.772855,yG3
4,12,0.284517,yG3
4,13,-0.700458,yG3
4,14,0.329106,yG3
4,15,0.0279653,yG3
4,16,-0.416731,yG3
4,17,0.04429,yG3
4,18,0.443663,yG3
4,19,0.263993,yG3
4,20,0.206902,yG3
4,21,-0.0746486,yG3
4,1,-0.0748282,yG4
4,2,-0.0143317,yG4
4,3,0.401846,yG4
4,4,0.0225771,yG4
4,5,-0.353671,yG4
4,6,-0.566607,yG4
4,7,-0.667798,yG4
4,8,-0.344572,yG4
4,9,-0.131613,yG4
4,10,-0.0445917,yG4
4,11,-0.183051,yG4
4,12,0.345757,yG4
4,13,-0.17433,yG4
4,14,0.056021,yG4
4,15,0.0271531,yG4
4,16,0.245711,yG4
4,17,-0.430535,yG4
4,18,0.369215,yG4
4,19,-0.810682,yG4
4,20,-0.504814,yG4
4,21,0.12328,yG4
4,1,0.0137177,yG5
4,2,0.321491,yG5
4,3,-0.425185,yG5
4,4,-0.097817,yG5
4,5,-0.0641566,yG5
4,6,-0.669837,yG5
4,7,-0.370217,yG5
4,8,-0.33845,yG5
4,9,-0.149768,yG5
4,10,0.184758,yG5
4,11,-0.280013,yG5
4,12,0.154711,yG5
4,13,0.13944,yG5
4,14,-0.13822,yG5
4,15,0.261301,yG5
4,16,-0.128004,yG5
4,17,-0.38619,yG5
4,18,0.0427809,yG5
4,19,-0.351733,yG5
4,20,0.577842,yG5
4,21,0.184319,yG5
5,0,2.8809,yAB
5,7,4.11011,yAB
5,21,4.03238,yAB
5,123,2.89577,yAB
5,180,2.55143,yAB
5,300,1.10331,yAB
5,1,1.0069,yG1
5,2,0.828478,yG1
5,3,-0.176041,yG1
5,4,0.133841,yG1
5,5,0.51652,yG1
5,6,-0.456028,yG1
5,7,-0.102471,yG1
5,8,0.208781,yG1
5,9,0.0146633,yG1
5,10,0.194354,yG1
5,11,0.373813,yG1
5,12,-0.004931,yG1
5,13,-0.0749396,yG1
5,14,0.0277509,yG1
5,15,-0.0340061,yG1
5,16,0.22964,yG1
5,17,0.348466,yG1
5,18,0.0337426,yG1
5,19,-0.293108,yG1
5,20,-0.174225,yG1
5,21,0.0661469,yG1
5,1,-0.476432,yG2
5,2,-0.290679,yG2
5,3,0.440119,yG2
5,4,0.0546186,yG2
5,5,0.0556738,yG2
5,6,0.531142,yG2
5,7,-0.644937,yG2
5,8,0.461032,yG2
5,9,0.232234,yG2
5,10,-0.342301,yG2
5,11,0.223241,yG2
5,12,-0.235392,yG2
5,13,-0.186684,yG2
5,14,0.161768,yG2
5,15,0.222134,yG2
5,16,-0.726934,yG2
5,17,-0.278679,yG2
5,18,-0.327953,yG2
5,19,-0.0994362,yG2
5,20,-0.262663,yG2
5,21,-0.134191,yG2
5,1,-0.110267,yG3
5,2,0.427509,yG3
5,3,-0.0137207,yG3
5,4,0.94746,yG3
5,5,0.33481,yG3
5,6,-0.532456,yG3
5,7,-0.975499,yG3
5,8,0.702778,yG3
5,9,0.48708,yG3
5,10,0.446509,yG3
5,11,0.241755,yG3
5,12,0.918969,yG3
5,13,-0.316494,yG3
5,14,0.0165279,yG3
5,15,0.121416,yG3
5,16,-0.821711,yG3
5,17,-0.362511,yG3
5,18,0.123904,yG3
5,19,-0.260367,yG3
5,20,0.286903,yG3
5,21,-0.108575,yG3
5,1,-0.295289,yG4
5,2,-0.12039,yG4
5,3,0.419017,yG4
5,4,-0.102793,yG4
5,5,0.540502,yG4
5,6,0.30051,yG4
5,7,0.0785178,yG4
5,8,-0.129581,yG4
5,9,0.0699409,yG4
5,10,0.00409507,yG4
5,11,-0.0177397,yG4
5,12,-0.652943,yG4
5,13,-0.0998888,yG4
5,14,-0.0907754,yG4
5,15,0.129329,yG4
5,16,-0.0269535,yG4
5,17,-0.248265,yG4
5,18,0.144681,yG4
5,19,-0.355936,yG4
5,20,0.164103,yG4
5,21,0.385458,yG4
5,1,-0.57513,yG5
5,2,-0.416384,yG5
5,3,0.719522,yG5
5,4,0.477952,yG5
5,5,-0.151431,yG5
5,6,-0.0460868,yG5
5,7,-0.0937514,yG5
5,8,-0.231824,yG5
5,9,0.204079,yG5
5,10,-0.0471066,yG5
5,11,-0.231099,yG5
5,12,0.27228,yG5
5,13,-0.594263,yG5
5,14,-0.156902,yG5
5,15,-0.396479,yG5
5,16,-0.483256,yG5
5,17,-0.23079,yG5
5,18,-0.138072,yG5
5,19,-0.463944,yG5
5,20,-0.119993,yG5
5,21,-0.186241,yG5
6,0,3.02067,yAB
6,7,3.43561,yAB
6,21,3.32915,yAB
6,123,2.10795,yAB
6,180,1.66183,yAB
6,300,-0.106948,yAB
6,1,0.403076,yG1
6,2,-0.135768,yG1
6,3,0.205524,yG1
6,4,-0.0100708,yG1
6,5,-0.429904,yG1
6,6,-0.340263,yG1
6,7,0.0466278,yG1
6,8,0.181129,yG1
6,9,0.267745,yG1
6,10,-0.163562,yG1
6,11,-0.291225,yG1
6,12,0.509689,yG1
6,13,-0.00540321,yG1
6,14,-0.00633867,yG1
6,15,-0.0874975,yG1
6,16,0.123199,yG1
6,17,-0.0825447,yG1
6,18,0.586687,yG1
6,19,-0.100102,yG1
6,20,0.179165,yG1
6,21,0.502835,yG1
6,1,-0.150483,yG2
6,2,0.0336833,yG2
6,3,-0.343612,yG2
6,4,0.3557,yG2
6,5,-0.119989,yG2
6,6,-0.0867543,yG2
6,7,-0.069063,yG2
6,8,-0.0891639,yG2
6,9,-0.405983,yG2
6,10,-0.621655,yG2
6,11,0.0925643,yG2
6,12,-0.809103,yG2
6,13,0.432424,yG2
6,14,-0.194263,yG2
6,15,0.441165,yG2
6,16,0.078118,yG2
6,17,-0.0775219,yG2
6,18,-0.0239672,yG2
6,19,0.0397845,yG2
6,20,0.301482,yG2
6,21,-0.240815,yG2
6,1,0.0691407,yG3
6,2,-0.0490039,yG3
6,3,-0.128619,yG3
6,4,-0.305601,yG3
6,5,0.185161,yG3
6,6,0.0475888,yG3
6,7,0.186791,yG3
6,8,0.13617,yG3
6,9,-0.989084,yG3
6,10,0.519223,yG3
6,11,0.297191,yG3
6,12,-0.14471,yG3
6,13,0.0479898,yG3
6,14,-0.131009,yG3
6,15,-0.224104,yG3
6,16,-0.417864,yG3
6,17,-0.560223,yG3
6,18,-0.134096,yG3
6,19,-0.442823,yG3
6,20,0.367712,yG3
6,21,-0.381865,yG3
6,1,-0.297846,yG4
6,2,0.592355,yG4
6,3,0.509558,yG4
6,4,0.307521,yG4
6,5,0.231995,yG4
6,6,0.177827,yG4
6,7,-0.113479,yG4
6,8,-0.142182,yG4
6,9,-0.0255352,yG4
6,10,-0.359978,yG4
6,11,0.459284,yG4
6,12,0.423521,yG4
6,13,-0.0854145,yG4
6,14,0.120479,yG4
6,15,-0.372665,yG4
6,16,-0.175086,yG4
6,17,0.0287509,yG4
6,18,-0.600314,yG4
6,19,0.531079,yG4
6,20,-0.45245,yG4
6,21,0.182687,yG4
6,1,0.0934773,yG5
6,2,0.249482,yG5
6,3,0.00262813,yG5
6,4,0.321072,yG5
6,5,0.298439,yG5
6,6,0.0201235,yG5
6,7,-0.285934,yG5
6,8,-0.0633695,yG5
6,9,-0.184886,yG5
6,10,0.245082,yG5
6,11,-0.194257,yG5
6,12,-0.0812675,yG5
6,13,-0.0975683,yG5
6,14,-0.0779862,yG5
6,15,0.772498,yG5
6,16,-0.146676,yG5
6,17,0.143604,yG5
6,18,-0.135795,yG5
6,19,-0.783174,yG5
6,20,0.277269,yG5
6,21,-0.511076,yG5
7,0,3.05281,yAB
7,7,4.2927,yAB
7,21,4.02802,yAB
7,123,2.72604,yAB
7,180,2.07305,yAB
7,300,0.691905,yAB
7,1,0.422662,yG1
7,2,0.0972785,yG1
7,3,0.319846,yG1
7,4,-0.0352768,yG1
7,5,0.302116,yG1
7,6,-0.41524,yG1
7,7,-0.334973,yG1
7,8,-0.290536,yG1
7,9,-0.139099,yG1
7,10,0.468919,yG1
7,11,0.311031,yG1
7,12,-0.167216,yG1
7,13,0.19074,yG1
7,14,-0.0678496,yG1
7,15,-0.0168107,yG1
7,16,-0.0466916,yG1
7,17,0.0571647,yG1
7,18,-0.0680928,yG1
7,19,-0.0152425,yG1
7,20,-0.201314,yG1
7,21,-0.111353,yG1
7,1,-0.999838,yG2
7,2,-0.0836584,yG2
7,3,0.116064,yG2
7,4,-0.412188,yG2
7,5,0.250591,yG2
7,6,0.261357,yG2
7,7,-0.0606766,yG2
7,8,0.423634,yG2
7,9,0.0429984,yG2
7,10,-0.120402,yG2
7,11,-0.238738,yG2
7,12,-0.207284,yG2
7,13,-0.297022,yG2
7,14,-0.28037,yG2
7,15,-0.449522,yG2
7,16,-0.116166,yG2
7,17,-0.249757,yG2
7,18,0.567221,yG2
7,19,-0.132223,yG2
7,20,-0.416999,yG2
7,21,-0.0981957,yG2
7,1,-0.200049,yG3
7,2,0.214495,yG3
7,3,-0.0631997,yG3
7,4,0.0944068,yG3
7,5,0.409201,yG3
7,6,0.127076,yG3
7,7,0.0649311,yG3
7,8,-0.544931,yG3
7,9,0.600405,yG3
7,10,0.163275,yG3
7,11,0.681018,yG3
7,12,0.160693,yG3
7,13,-0.186091,yG3
7,14,-0.705851,yG3
7,15,0.127641,yG3
7,16,0.242874,yG3
7,17,0.123107,yG3
7,18,0.258447,yG3
7,19,-0.0617658,yG3
7,20,0.121786,yG3
7,21,0.184733,yG3
7,1,0.0879233,yG4
7,2,0.156738,yG4
7,3,0.0283885,yG4
7,4,0.374251,yG4
7,5,0.297628,yG4
7,6,0.369519,yG4
7,7,-0.0955596,yG4
7,8,-0.426868,yG4
7,9,0.0278764,yG4
7,10,-0.633399,yG4
7,11,-0.0813229,yG4
7,12,-0.131398,yG4
7,13,-0.235356,yG4
7,14,-0.000859953,yG4
7,15,0.167346,yG4
7,16,-0.0407178,yG4
7,17,-0.326587,yG4
7,18,0.293565,yG4
7,19,0.360418,yG4
7,20,-0.020974,yG4
7,21,0.360265,yG4
7,1,0.00665788,yG5
7,2,0.116995,yG5
7,3,0.389262,yG5
7,4,-0.688482,yG5
7,5,-0.680064,yG5
7,6,-0.432045,yG5
7,7,0.316128,yG5
7,8,0.0918732,yG5
7,9,-0.352231,yG5
7,10,-0.676667,yG5
7,11,0.402877,yG5
7,12,0.0801454,yG5
7,13,0.576168,yG5
7,14,-0.0587414,yG5
7,15,-0.537738,yG5
7,16,0.0166183,yG5
7,17,0.0459732,yG5
7,18,0.0399763,yG5
7,19,0.057426,yG5
7,20,0.208277,yG5
7,21,0.0847657,yG5
8,0,2.93556,yAB
8,7,3.97218,yAB
8,21,4.00511,yAB
8,123,2.90692,yAB
8,180,2.12906,yAB
8,300,0.670932,yAB
8,1,0.528009,yG1
8,2,-0.0374059,yG1
8,3,0.178097,yG1
8,4,0.171138,yG1
8,5,0.642857,yG1
8,6,-0.0706903,yG1
8,7,0.646602,yG1
8,8,0.275825,yG1
8,9,0.22082,yG1
8,10,0.20429,yG1
8,11,0.0632524,yG1
8,12,0.596832,yG1
8,13,-0.238092,yG1
8,14,0.149626,yG1
8,15,0.0180607,yG1
8,16,-0.0316183,yG1
8,17,0.220767,yG1
8,18,-0.159006,yG1
8,19,-0.0312024,yG1
8,20,0.107584,yG1
8,21,-0.0204351,yG1
8,1,0.395944,yG2
8,2,-0.0511782,yG2
8,3,-0.565366,yG2
8,4,-0.288323,yG2
8,5,0.167063,yG2
8,6,-0.331032,yG2
8,7,0.461895,yG2
8,8,-0.110726,yG2
8,9,0.33729,yG2
8,10,0.115502,yG2
8,11,0.923382,yG2
8,12,-0.425426,yG2
8,13,-0.136823,yG2
8,14,-0.192724,yG2
8,15,0.146835,yG2
8,16,0.00599009,yG2
8,17,-0.50319,yG2
8,18,-0.295413,yG2
8,19,0.0237123,yG2
8,20,-0.0749162,yG2
8,21,0.0181299,yG2
8,1,-0.098328,yG3
8,2,0.51907,yG3
8,3,0.00179643,yG3
8,4,0.0862561,yG3
8,5,-0.287084,yG3
8,6,-0.376404,yG3
8,7,-0.455345,yG3
8,8,-0.17343,yG3
8,9,0.128263,yG3
8,10,0.426729,yG3
8,11,-0.239443,yG3
8,12,-0.0508242,yG3
8,13,0.368835,yG3
8,14,0.688031,yG3
8,15,0.437376,yG3
8,16,-0.00712182,yG3
8,17,0.244058,yG3
8,18,0.381264,yG3
8,19,0.308107,yG3
8,20,0.562751,yG3
8,21,0.674056,yG3
8,1,0.287792,yG4
8,2,0.349477,yG4
8,3,0.224258,yG4
8,4,0.318984,yG4
8,5,-0.111354,yG4
8,6,-0.333335,yG4
8,7,-0.386945,yG4
8,8,0.149423,yG4
8,9,0.408132,yG4
8,10,0.585571,yG4
8,11,-0.11845,yG4
8,12,0.0711829,yG4
8,13,0.453903,yG4
8,14,0.156649,yG4
8,15,0.0394221,yG4
8,16,0.375396,yG4
8,17,0.241369,yG4
8,18,-0.610685,yG4
8,19,-0.238136,yG4
8,20,-0.422106,yG4
8,21,0.210067,yG4
8,1,-0.529208,yG5
8,2,-0.405125,yG5
8,3,-0.364414,yG5
8,4,0.289391,yG5
8,5,0.0640304,yG5
8,6,-0.38988,yG5
8,7,0.220261,yG5
8,8,0.112279,yG5
8,9,-0.643808,yG5
8,10,-0.543625,yG5
8,11,0.134806,yG5
8,12,0.137803,yG5
8,13,-0.418215,yG5
8,14,-0.370195,yG5
8,15,0.167289,yG5
8,16,0.0393772,yG5
8,17,0.0614496,yG5
8,18,0.0161161,yG5
8,19,-0.0304645,yG5
8,20,-0.289323,yG5
8,21,-0.0779913,yG5
9,0,2.93365,yAB
9,7,3.77726,yAB
9,21,3.80977,yAB
9,123,3.16145,yAB
9,180,2.84445,yAB
9,300,2.49351,yAB
9,1,0.574421,yG1
9,2,0.849629,yG1
9,3,-0.209461,yG1
9,4,0.0973726,yG1
9,5,-0.25536,yG1
9,6,-0.155269,yG1
9,7,0.0198231,yG1
9,8,0.103382,yG1
9,9,0.258864,yG1
9,10,0.108666,yG1
9,11,-0.476785,yG1
9,12,0.115216,yG1
9,13,-0.487086,yG1
9,14,0.339011,yG1
9,15,0.420518,yG1
9,16,0.00203522,yG1
9,17,-0.0399916,yG1
9,18,0.283041,yG1
9,19,-0.0959139,yG1
9,20,0.140492,yG1
9,21,-0.195455,yG1
9,1,-0.021782,yG2
9,2,0.19312,yG2
9,3,0.0319518,yG2
9,4,0.234944,yG2
9,5,0.449684,yG2
9,6,0.10555,yG2
9,7,-0.281459,yG2
9,8,-0.19491,yG2
9,9,0.159005,yG2
9,10,0.333157,yG2
9,11,-0.334174,yG2
9,12,0.318854,yG2
9,13,0.204129,yG2
9,14,0.0117484,yG2
9,15,0.237571,yG2
9,16,-0.765951,yG2
9,17,0.435256,yG2
9,18,0.0242537,yG2
9,19,-0.176905,yG2
9,20,0.055529,yG2
9,21,0.312469,yG2
9,1,-0.381831,yG3
9,2,-0.196714,yG3
9,3,0.454133,yG3
9,4,0.198034,yG3
9,5,-0.645701,yG3
9,6,0.201728,yG3
9,7,-0.164568,yG3
9,8,-0.453053,yG3
9,9,-0.267287,yG3
9,10,0.615698,yG3
9,11,-0.27842,yG3
9,12,-0.107966,yG3
9,13,0.209053,yG3
9,14,0.386725,yG3
9,15,0.0151254,yG3
9,16,-0.259393,yG3
9,17,0.255181,yG3
9,18,0.487379,yG3
9,19,-0.297215,yG3
9,20,0.268303,yG3
9,21,1.40662,yG3
9,1,-0.111156,yG4
9,2,-0.0140606,yG4
9,3,0.0778035,yG4
9,4,-0.464308,yG4
9,5,0.67628,yG4
9,6,-0.36116,yG4
9,7,0.394853,yG4
9,8,-0.274764,yG4
9,9,-0.769257,yG4
9,10,0.488454,yG4
9,11,0.0732258,yG4
9,12,0.603983,yG4
9,13,-0.506785,yG4
9,14,0.626148,yG4
9,15,0.211551,yG4
9,16,0.0595972,yG4
9,17,-0.0355094,yG4
9,18,0.326299,yG4
9,19,-0.292398,yG4
9,20,0.204871,yG4
9,21,0.700843,yG4
9,1,-0.120398,yG5
9,2,-0.469793,yG5
9,3,0.314916,yG5
9,4,0.623463,yG5
9,5,-0.395794,yG5
9,6,0.421753,yG5
9,7,0.296977,yG5
9,8,-1.14246,yG5
9,9,0.132145,yG5
9,10,0.410533,yG5
9,11,-0.220557,yG5
9,12,0.712074,yG5
9,13,0.182163,yG5
9,14,-0.209823,yG5
9,15,0.230026,yG5
9,16,0.191139,yG5
9,17,0.234478,yG5
9,18,-0.125829,yG5
9,19,0.241256,yG5
9,20,0.281063,yG5
9,21,0.162148,yG5
10,0,2.99519,yAB
10,7,4.10799,yAB
10,21,4.0619,yAB
10,123,3.27064,yAB
10,180,2.93081,yAB
10,300,1.81853,yAB
10,1,0.192069,yG1
10,2,0.580985,yG1
10,3,0.386303,yG1
10,4,0.182557,yG1
10,5,0.347478,yG1
10,6,0.0463418,yG1
10,7,-0.198594,yG1
10,8,0.0483195,yG1
10,9,-0.296769,yG1
10,10,-0.2531,yG1
10,11,-0.203655,yG1
10,12,0.395636,yG1
10,13,0.134386,yG1
10,14,0.186749,yG1
10,15,0.0962496,yG1
10,16,-0.0218245,yG1
10,17,-0.197419,yG1
10,18,0.246778,yG1
10,19,-0.17754,yG1
